name,composition,uses,side_effects,category,manufacturer,requires_prescription,is_otc,symptom_keywords,recommendation_note,price,stock,image_url,source_url
Allergen,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/pfoQgDmwqQPgLM--PkqRV/original/026561400_1589787048-Mata-Berair-atau-Epifora-shutterstock_773116984.jpg,https://www.klikdokter.com/obat/obat-alergi/allergen
Allerin Expectorant,,", Dosis, Cara Pakai dan Efek Samping"",""meta_description"":""Rhinos SR adalah obat untuk meredakan berbagai gejala terkait rhinitis alergi seperti bersin, hidung tersumbat. Cari tau Dosis \u0026 Cara pakai, Efek Samping, dan manfaat lainnya disini."",""meta_robots_index"":""index"",""meta_robots_follow"":""fol",Konsultasikan dengan dokter,Flu & Pilek,,False,True,alergi,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/allerin
Alleron,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/t97muwt83huTYPZ7iQXFF/original/OBT0005142.jpg,https://www.klikdokter.com/obat/obat-alergi/alleron
Alletrol,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Mata & Telinga,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/JUzNsNrAqeD2JAS9aUDZp/original/1664493026-Obat%20Tetes%20Mata.jpg,https://www.klikdokter.com/obat/obat-mata/alletrol
Allevyn Adhesive,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-p3k/allevyn-adhesive
Allevyn Adhesive Foam Dressing Plus Cavity,,", Dosis &amp; Cara pakai, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis &amp; cara pakai, dan lainnya di sini."" data-next-he",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-p3k/allevyn-adhesive-foam-dressing-plus-cavity
Allevyn Non-Adhesive,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-p3k/allevyn-non-adhesive
Allogon,,", Dosis, Cara Pakai dan Efek Samping"",""meta_description"":""Tramadol adalah obat untuk mengatasi nyeri yang bersifat sedang hingga berat. Cari tau Dosis \u0026 Cara pakai, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publish",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antinyeri/allogon
Allohex,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-alergi/allohex
Allopurinol,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/acAz9i1rGTV0CUkLcrRjg/original/OBT0005167.jpg,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/allopurinol
Alloris,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/ePODm7CUj1J-yqVRXC3Ix/original/1678159733-obat%20gatal%20alami%20yang%20ampuh.jpg,https://www.klikdokter.com/obat/obat-alergi/alloris
