name,composition,uses,side_effects,category,manufacturer,requires_prescription,is_otc,symptom_keywords,recommendation_note,price,stock,image_url,source_url
Albugold,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/albugold
Albuminar,,"Dosis, Efek Samping"",""meta_description"":""NaCl adalah larutan garam sterili, yang dapat digunakan untuk infus pengganti cairan tubuh yang hilang,"",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/lUy7IvK",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dosis, efek samping"",""meta_description"":""nacl adalah larutan",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/larutan-steril/albuminar
Albuminchil,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/albuminchil
Albumino,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/albumino
Albus Kapsul,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/albus-kapsul
Albusmin,jamu Albusmin terbuat dari,", Dosis, dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis, dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/bxP95F03gHazzUZ-6Gdl5/original/5069j04o229futq4cfxdnfhggnybm8le.png,https://www.klikdokter.com/obat/obat-herbal/albusmin
Albuvit,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Mata & Telinga,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-mata/albuvit
Albuzay,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/albuzay
Albuzen,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/albuzen
Alcet,,", Dosis, dan Efek Samping"",""meta_description"":""Proxona adalah obat dengan kandungan dexchlorpheniramine maleate dan dexamethasone untuk meringankan gejala alergi dan radang. Ini manfaat, harga, dosis, efek sampingnya."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https:",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,alergi,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-alergi/alcet
